web-scraper-order,web-scraper-start-url,titulo,precio
1618363429-2937,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=1,Provecha excelente oportunidad  en Promoción por tiempo limitado y estrena  casa  en ...,"$2,350,000"
1618363677-3907,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=29,"Casa en condominio en Venta, en Juriquilla, Querétaro","$3,800,000"
1618362985-1734,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=31,ESTRENA HERMOSA CASA EN EL REFUGIO !!,"$5,100,000"
1618362197-155,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=16,"En Venta Casa en Cumbes del Lago con Alberca en El Jardin, Roof Garden Ycc","$4,200,000"
1618363879-4755,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=1,Casa en Venta en San Isidro Juriquilla Queretaro GPS,"$2,500,000"
1618363119-2025,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=22,"Casa sola en Venta, en Residencial el Refugio, Querétaro","$5,250,000"
1618363308-2540,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=5,Casa en venta el refugio 4 habitaciones JRH,"$4,100,000"
1618362227-296,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=12,CASA EN VENTA EN CUMBRES DEL LAGO JURIQUILLA CON ALBERCA,"$4,100,000"
1618363335-2661,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=1,"Preciosa Casa en El Refugio, Paseo San Junípero, 3 Recámaras, Alberca, LUJO!","$1,958,000"
1618363429-2954,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=1,Anímate a tener tu casa en un excelente lugar para vivir y disfrutar de sus comodidad...,"$2,300,000"
1618363275-2418,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=9,Hermosa casa en venta con sotano y Roof Garden,"$3,050,000"
1618363727-4102,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=22,Residencia de 1 piso con vista al campo de golf en Juriquilla Queretaro en venta,"$9,500,000"
1618362603-1082,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,VENTA  DE CASA EN EXCLUSIVA PRIVADA JURICA DE UN PISO EN QUERETARO,"$8,500,000"
1618363385-2865,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=4,Hermosa casa en El Mirador de 3 recamaras y 284 mts2! RAHH,"$3,950,000"
1618363578-3560,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=41,QH. 20-3024 Casa en Juriquilla con cocina equipada!,"$7,000,000"
1618362520-956,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa lujosa en Jurica de 5 dormitorios y 505 mts2! RAHQRO,"$16,500,000"
1618362264-436,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=7,"En JURIQUILLA, tenemos  la casa de tus sueños. También tenemos el mejor terreno.","$1,500,000"
1618362520-954,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa en venta Jurica 3 habitaciones JGCC,"$3,320,000"
1618363148-2070,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=20,Casa en venta en el Refugio,"$2,990,000"
1618363378-2833,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=5,Casa en Venta El Mirador,"$1,950,000"
1618363148-2076,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=20,Amplia casa en venta de 3 recámaras en El Refugio con roof garden 20-3309,"$5,290,000"
