web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,metros
"1615691488-1004","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","El Refugio casa a estrenar de 3 recamaras y 246 mts2! RAHQRO","$ 15,500","3 Recámaras","246 m² Construidos"
"1615691562-1096","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","Casa con Amenidades en Esquina. El Refugio - Renta","$ 11,000","3 Recámaras","124 m² Construidos"
"1615691279-812","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Renta una gran casa en Milenio III cerca de av principal","$ 18,000","3 Recámaras","265 m² Construidos"
"1615691372-878","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","RENTA DUPLEX PLANTA BAJA SAN ISIDRO JURIQUILLA QRO","$ 7,500","2 Recámaras","60 m² Construidos"
"1615691279-799","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Casa en el mirador amoblada y equipada con 3 dormitorios y 125 mts2! Rahqro","$ 25,000","3 Recámaras","125 m² Construidos"
"1615691562-1086","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","Casa en renta en Zakia queretaro nueva","$ 8,500","3 Recámaras","102 m² Construidos"
"1615691461-996","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Casa en El Refugio con buena ubicación sin amueblar y 164 mts2! RAHQRO","$ 13,500","3 Recámaras","164 m² Construidos"
"1615691542-1053","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2","Casa en renta El Refugio 3 habitaciones AVH","$ 14,000","3 Recámaras","165 m² Construidos"
"1615691542-1060","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2","Se renta casa en el refugio 3 recamaras excelente jardin +sala de tv YCC","$ 14,000","3 Recámaras","137 m² Construidos"
"1615691372-885","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","HERMOSA CASA DE LUJO EN RENTA AMUEBLADA EN SANTA FE JURIQUILLA","$ 25,000","3 Recámaras","207 m² Construidos"
