web-scraper-order,web-scraper-start-url,descrip,precio
1616375161-3047,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casa - Juriquilla,"$45,000"
1616375203-3098,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"Casa sola en Renta, en Juriquilla, Querétaro","$19,000"
1616375119-2965,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en Renta - Juriquilla - en Privada,"$28,000"
1616375182-3070,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"CASA EN RENTA, FRACCIONAMIENTO ALENAS, JURIQUILLA, QRO.","$19,000"
1616375248-3156,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en Renta en El Refugio 3 Recamara con Amenidades Sala de Tv Ycc,"$13,000"
1616375098-2938,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,"CASA EN RENTA EN JURIQUILLA, CUMBRES DEL LAGO, AMUEBLADA","$21,000"
1616375248-3145,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en El Refugio de 3 dormitorios y 164 mts2! RAHQRO,"$13,000"
1616375077-2905,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Casa en renta, Milenio III Querétaro","$20,000"
1616375290-3218,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616375077-2912,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Casa en El Milenio de 3 niveles, sin amoblar y 300 mts2! RAHQRO","$16,000"
1616375203-3105,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"Casa en Privada Exclusiva, Variadas Amenidades. San Isidro Juriquilla, Renta","$12,000"
1616375269-3169,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Amplia casa en renta en El Refugio en cerrada con vigilancia las 24hrs JF,"$12,500"
1616375035-2853,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa Duplex En Renta En El Mirador GPS,"$12,000"
1616375311-3246,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa en renta El Refugio 3 habitaciones AVH,"$11,000"
1616375056-2878,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,"CASA EN RENTA EN LA COL. PATHÉ, 3 RECAMARAS, CTO. DE SERVICIO CON BAÑO COMPLETO","$14,000"
1616375311-3239,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa amueblada en renta Refugio Querétaro,"$15,000"
1616375269-3184,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,"El Refugio, RENTA - Casa en privada con seguridad","$11,000"
1616375269-3194,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616375226-3128,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en El Refugio con buena ubicación sin amueblar y 164 mts2! RAHQRO,"$13,500"
1616375248-3157,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,RENTA DE CASA  AMUEBLADA Y EQUIPADA EN EL REFUGIO,"$15,500"
1616375311-3257,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,CASA EN RENTA EN EL REFUGIO CON SEGURIDAD ALBERCA Y JARDIN,"$10,500"
1616375140-3011,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Juriquilla - Casa en Renta - Residencial con control de acceso,"$15,000"
1616375077-2909,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA EN RENTA EN FRACCIONAMIENTO CON VIGILANCIA,"$18,000"
1616375161-3045,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,RENTA DUPLEX PLANTA BAJA SAN ISIDRO JURIQUILLA QRO,"$7,500"
1616375035-2868,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en Renta. El Mirador. FVR,"$12,700"
1616375014-2821,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,Casa amueblada en renta en el Mirador de 3 recámaras con estudio 20-1051,"$25,000"
1616375269-3197,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa sin amoblar en El Refugio de 3 dormitorios y 164 mts2! GOC,"$13,500"
1616375290-3224,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Hermosa Casa Torre de Piedra,"$15,000"
1616375035-2841,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Renta de casa Queretaro privada dos deseos El Mirador,"$11,000"
