web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,banos,metros
1616373335-2883,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Departamento - Juriquilla,"MN 38,500",3 rec.,"3
					
						baños",184 m²
1616373490-3175,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,"Departamento en Renta Cumbres de Juriquilla, Manzanares","MN 13,500",2 rec.,"1
					
						baño",93 m²
1616373372-2958,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-10.html,Renta Departamento Amueblado Atelier Queretaro Juriquilla,"MN 16,000",2 rec.,"1
					
						baño",86 m²
1616373310-2823,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Renta Departamentos Amueblados Queretaro Juriquilla Atelier,"MN 28,000",3 rec.,"3
					
						baños",120 m²
1616373282-2780,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,Departamento en Renta,"MN 25,000",2 rec.,"3
					
						baños",92 m²
1616373296-2817,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,Lomelin Br | Departamento Amueblado | 3 Habitaciones + Balcon | Habitarea Towers Juriquilla,"MN 25,000",3 rec.,"2
					
						baños",120 m²
1616373478-3146,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,"Departamento en Querétaro, Juriquilla","MN 12,500",3 rec.,"2
					
						baños",97 m²
1616373465-3130,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,Departamento en Renta en Juriquilla,"MN 21,000",3 rec.,"3
					
						baños",176 m²
1616373249-2732,https://www.inmuebles24.com/departamentos-en-renta-q-milenio-iii-queretaro.html,Departamento Loft Renta Milenio III Queretaro Rdr Ls,"MN 10,400",1 rec.,"1
					
						baño",78 m²
1616373465-3121,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,"Departamento Amueblado en Renta en Atelier, 1 Recámara, 1 Baño","MN 13,000",1 rec.,"1
					
						baño",50 m²
1616373490-3168,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,Departamento en Renta Amueblado Juriquilla Querétaro,"MN 19,800",2 rec.,"2
					
						baños",100 m²
1616373249-2730,https://www.inmuebles24.com/departamentos-en-renta-q-milenio-iii-queretaro.html,"Departamento en Renta, Milenio III, Querétaro, Qro.","MN 14,080",3 rec.,"2
					
						baños",140 m²
1616373347-2905,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-12.html,Departamento Juriquilla Rincón del Lago,"MN 6,500",2 rec.,"1
					
						baño",70 m²
1616373478-3139,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,Departamento Amueblado en Renta Sobre Blvd de La Campana en,"MN 18,500",2 rec.,"2
					
						baños",100 m²
1616373310-2829,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Renta Moderno Departamento en Cantalagua Juriquilla,"MN 15,000",2 rec.,"2
					
						baños",134 m²
1616373465-3124,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,Hermoso Departamento en Renta en Cumbres del Lago,"MN 13,000",2 rec.,"2
					
						baños",102 m²
1616373296-2813,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,Departamento en Renta en Juriquilla Altara Querétaro 2 Recs,"MN 13,000",2 rec.,"2
					
						baños",103 m²
1616373310-2828,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Estrena Departamento Amueblado en Juriquilla,"MN 16,500",2 rec.,"2
					
						baños",101 m²
1616373500-3184,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-residencial-el-refugio.html,Departamento en Renta El Refugio Queretaro 3 Habitaciones Amueblado con Amenidades,"MN 18,000",3 rec.,"2
					
						baños",170 m²
1616373438-3073,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-5.html,"Renta Departamento 2 Rec. $15,500","MN 15,500",2 rec.,"2
					
						baños",110 m²
1616373395-3006,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Altos de Juriquilla Departamento Sin Amueblar de 2 Recamaras! Myl,"MN 14,500",2 rec.,"2
					
						baños",109 m²
1616373238-2697,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,Departamento en Renta El Mirador 2 Habitaciones Jrh,"MN 15,000",2 rec.,"2
					
						baños",85 m²
1616373438-3070,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-5.html,Departamento en Renta 3 Habitaciones Jrh,"MN 20,000",3 rec.,"2
					
						baños",184 m²
1616373426-3059,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,Departamento en Renta en Biosfera Towers Juriquilla,"MN 19,500",3 rec.,"3
					
						baños",173 m²
1616373426-3044,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,Amueblado en Juriquilla Life,"MN 22,000",3 rec.,"2
					
						baños",130 m²
1616373282-2777,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,Departamentos en Renta Juriquilla,"MN 14,000",3 rec.,"2
					
						baños",90 m²
1616373310-2831,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Amueblado en Biosfera Juriquilla,"MN 20,000",2 rec.,"2
					
						baños",120 m²
1616373296-2811,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,"Renta Lujoso PH Amueblado en Fraccionamiento Hermoso, Seguro y Tranquilo Jf","MN 25,500",3 rec.,"2
					
						baños",232 m²
1616373465-3111,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,Renta Departamento Moderno de Lujo con Jardín en Juriquilla,"MN 15,600",2 rec.,"2
					
						baños",135 m²
1616373296-2814,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,"Juriquilla, Departamento Amueblado Tipo Luxury Totalmente Eq","MN 35,000",3 rec.,"2
					
						baños",223 m²
1616373465-3122,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,Departamento de Lujo en Juriquilla Towers,"MN 21,000",2 rec.,"2
					
						baños",92 m²
1616373409-3024,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-7.html,Se Renta Exclusivo Departamento Amueblado en Habitarea Juriq,"MN 22,000",2 rec.,"2
					
						baños",120 m²
1616373452-3096,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Se Renta Departamento 2 Recámaras en Juriquilla Posee Alberca y Gym Ycc,"MN 17,000",2 rec.,"2
					
						baños",106 m²
1616373409-3035,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-7.html,Departamento Amueblado - Tu Hogar Rodeado de Belleza Natural,"MN 38,000",3 rec.,"3
					
						baños",161 m²
1616373452-3108,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Departamento Amueblado en Renta Juriquilla - Cercano a Fresko y Uvm,"MN 11,500",3 rec.,"1
					
						baño",120 m²
1616373382-2984,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,"Wise Living Juriquilla, Departamento Tipo Luxury Totalmente","MN 35,000",3 rec.,"2
					
						baños",223 m²
1616373282-2783,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,"Departamento Amueblado en Biosfera Juriquilla, 3 Recamaras","MN 22,000",3 rec.,"2
					
						baños",120 m²
1616373358-2926,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-11.html,Departamento en Renta en Juriquilla,"MN 21,500",3 rec.,"3
					
						baños",1 m²
1616373372-2945,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-10.html,Departamento en Renta en Juriquilla Towers,"MN 27,000",3 rec.,"3
					
						baños",175 m²
1616373335-2888,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Renta de Departamento en Juriquilla,"MN 20,500",3 rec.,"2
					
						baños",126 m²
1616373249-2723,https://www.inmuebles24.com/departamentos-en-renta-q-milenio-iii-queretaro.html,Departamento Para Renta a Estrenar en Milenio III,"MN 14,000",3 rec.,"2
					
						baños",125 m²
1616373478-3150,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,Estrénalo! Ven a Vivir en Uno de Los Desarrollos Más Lindos de Querétaro.,"MN 17,000",3 rec.,"2
					
						baños",134 m²
1616373372-2944,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-10.html,Departamento en Renta en Juriquilla,"MN 20,000",2 rec.,"3
					
						baños",160 m²
1616373335-2886,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Renta Departamento Penthouse,"MN 24,000",3 rec.,"2
					
						baños",232 m²
1616373271-2753,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-18.html,Departamento en Renta - Juriquilla - Queretaro - De310,"MN 17,000",2 rec.,"2
					
						baños",110 m²
1616373395-2993,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento Amueblado en Renta Juriquilla Atelier Queretaro,"MN 18,000",2 rec.,"2
					
						baños",80 m²
1616373382-2970,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,"Departamento Amueblado de 3 Hab en Biosfera, Juriquilla","MN 19,000",3 rec.,"2
					
						baños",120 m²
1616373382-2987,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,Departamento en Wise Living,"MN 24,000",2 rec.,"2
					
						baños",168 m²
1616373335-2877,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,"Handiko Towers, a Estrenar, Exterior con Terraza","MN 15,500",2 rec.,"2
					
						baños",125 m²
1616373296-2802,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,"Increíble Departamento Amueblado en Juriquilla Towers, Alberca, 2 Recs, 2 Baños","MN 25,000",2 rec.,"2
					
						baños",98 m²
1616373490-3164,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,Renta Amueblado Departamento en San Isidro Juriquilla,"MN 9,500",1 rec.,"1
					
						baño",65 m²
1616373282-2775,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,Departamento Amueblado en Biosfera Queretaro,"MN 19,500",3 rec.,"2
					
						baños",1 m²
1616373395-2991,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento en Renta en Juriquilla Altara Querétaro 2 Recs,"MN 13,000",2 rec.,"2
					
						baños",103 m²
1616373500-3187,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-residencial-el-refugio.html,Departameto en Renta Amueblado. Lc,"MN 6,500",2 rec.,"1
					
						baño",52 m²
1616373409-3033,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-7.html,"Handiko Towers, a Estrenar, Exterior con Terraza","MN 15,500",2 rec.,"2
					
						baños",125 m²
