web-scraper-order,web-scraper-start-url,titulo,precio
1618362603-1082,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,VENTA  DE CASA EN EXCLUSIVA PRIVADA JURICA DE UN PISO EN QUERETARO,"$8,500,000"
1618362520-956,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa lujosa en Jurica de 5 dormitorios y 505 mts2! RAHQRO,"$16,500,000"
1618362520-954,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa en venta Jurica 3 habitaciones JGCC,"$3,320,000"
1618362557-992,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,CASA EN VENTA EN JURICA DE UN NIVEL,"$7,500,000"
1618362618-1133,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,Venta de Hermosa Casa de Una Planta en Fraccionamiento Jurica,"$7,300,000"
1618362603-1094,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,"VENTA de casa en Jurica QUERETARO con Gran Jardin, 4 Recamaras.","$7,130,000"
1618362498-897,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en venta Jurica 3 habitaciones JGCC,"$6,200,000"
1618362603-1099,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000"
1618362603-1098,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa en exclusivo condominio en Jurica de 188 mts2! RAHQRO,"$3,347,948"
1618362589-1052,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,Hermosa casa residencial con alberca en Fraccionamiento Jurica,"$8,500,000"
1618362589-1050,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,CASA EN VENTA EN PRIVADA EN JURICA CAMPESTRE QUERETARO,"$16,500,000"
1618362412-761,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Gran Casa con Jacuzzi en Jurica en venta con 3 recamaras,"$11,350,000"
1618362557-1008,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa de Un Nivel en Venta en Jurica,"$7,300,000"
1618362520-936,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,VENTA CASA JURICA QUERETARO,"$13,500,000"
1618362478-882,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta Jurica 3 habitaciones JGCC,"$13,500,000"
1618362618-1131,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,PRE-VENTA DE CASA EN JURICA,"$7,500,000"
1618362412-753,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,VENTA CASA JURICA SABINOS,"$15,000,000"
1618362557-989,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Jurica - Casa de amplios espacios. Acabados de lujo.,"$16,500,000"
1618362589-1067,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,"CASA EN VENTA EN JURICA, EXCELENTE UBICACIÓN","$8,300,000"
1618362557-1012,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa en Jurica de 3 dormitorios y 235 mts2! RCS 20-989,"$3,320,000"
1618362603-1092,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,"Casa en venta en Regency, Jurica, Querétaro. En privada con acceso a Club Deportivo.","$11,990,000"
1618362589-1076,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,En venta casa en jurica de 510 mts2 con 3 recamaras y 4 baños y alberca jpc,"$13,500,000"
1618362618-1119,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,CASA EN VENTA 1 PLANTA EN QUERETARO FRACCIONAMIENTO JURICA,"$8,500,000"
1618362412-755,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,VENTA CASAS - JURICA - QUERETARO,"$9,500,000"
1618362520-931,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,SO HERMOSA CASA EN VENTA EN JURICA,"$11,400,000"
