web-scraper-order,web-scraper-start-url,title,price,rooms,toilets,mts
"1615253085-32","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=3","Milenio III SIN AMUEBLAR departamento de 3 recamaras y 146 mts2!","$ 14,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","146 m²
                                    
                                
                                Construidos"
"1615253085-18","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=3","Penthouse en renta amoblado de 3 dormitorios y 246 mts2 en El Milenio III RAHQRO","$ 27,000","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","246 m²
                                    
                                
                                Construidos"
"1615253132-79","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=1","RENTA DEPARTAMENTO MILENIO III A 8 MIN DEL CENTRO","$ 15,320","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","93 m²
                                    
                                
                                Construidos"
"1615253110-62","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=2","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 17,500","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","178 m²
                                    
                                
                                Construidos"
"1615253132-83","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=1","Moderno y amplio departamento trirecámaras planta baja en Milenio III","$ 12,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","130 m²
                                    
                                
                                Construidos"
"1615253132-70","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=1","Departamento - Milenio","$ 26,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","162 m²
                                    
                                
                                Construidos"
"1615253132-86","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=1","Departamento para RENTA a estrenar en Milenio III","$ 14,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","125 m²
                                    
                                
                                Construidos"
"1615253110-55","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=2","MILENIO III DEPARTAMENTO EN RENTA DE 3 RECAMARAS CON TERRAZA EDF CON AMENIDADES","$ 14,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","146 m²
                                    
                                
                                Construidos"
"1615253110-49","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=2","Departamento en renta en MILENIO","$ 20,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","135 m²
                                    
                                
                                Construidos"
"1615253132-67","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn&page=1","Departamento Amueblado en Renta en Milenio III, Qro","$ 9,900","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","50 m²
                                    
                                
                                Construidos"
