web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,banos,metros
1616350372-1896,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,DEPARTAMENTO PENTHOUSE EN RENTA EN BIOSFERA TOWERS EN JURIQUILLA CON VISTA,"$28,000","3
                                    
                                
                                Recámaras","4
                                    
                                
                                Baños","178 m²
                                    
                                
                                Construidos"
1616350289-1743,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,Departamento en Juriquilla de 91 mts2 y 2 dormitorios! RAHQRO 19-2448,"$25,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","91 m²
                                    
                                
                                Construidos"
1616350278-1704,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,Departamento en Renta en Milenio 3a. Sección,"$13,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","93 m²
                                    
                                
                                Construidos"
1616350218-1579,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2,Departamento en renta EL Mirador 2 habitaciones JGCC,"$11,500","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","85 m²
                                    
                                
                                Construidos"
1616350218-1604,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2,Departamento en renta El Mirador 1 habitación AVH,"$11,500","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","72 m²
                                    
                                
                                Construidos"
1616350305-1775,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Lindo Departamento en Renta. Juriquilla. FVR,"$23,500","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","184 m²
                                    
                                
                                Construidos"
1616350262-1687,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,DEPTO EN MILENIO LOS MEJORES ATARDECERES,"$15,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","125 m²
                                    
                                
                                Construidos"
1616350429-2054,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,departamento en renta en juriquilla,"$12,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños",null
1616350183-1504,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Bello departamento en renta en El Campanario OFP 20-245,"$20,500","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","50 m²
                                    
                                
                                Construidos"
1616350351-1840,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Departamento PH Cantalagua Juriquilla 3 recámaras RENTA!!!,"$20,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños",null
