web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,banos,metros
"1615692651-2099","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4","JURIQUILLA TOWERS","$ 26,000","2 Recámaras","2 Baños","95 m² Construidos"
"1615692491-1732","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2","Departamento en renta El Mirador 2 habitaciones JGCC","$ 11,500","2 Recámaras","2 Baños","85 m² Construidos"
"1615692596-1893","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10","Se Renta Depa Tipo Duplex en Altos de Juriquilla 2 Recamaras Cada Una con Baño","$ 14,000","2 Recámaras","3 Baños","152 m² Construidos"
"1615692675-2190","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1","Departamento en Renta JURIQUILLA CANTALAGUA QUERETARO 2 habitaciones en privada","$ 15,000","2 Recámaras","2 Baños","136 m² Construidos"
"1615692584-1891","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11","DEPARTAMENTO EN JURIQUILLA SANTA FE","$ 25,000","3 Recámaras","2 Baños","130 m² Construidos"
"1615692675-2165","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1","Departamento en Querétaro, Juriquilla","$ 12,500","3 Recámaras","2 Baños","97 m² Construidos"
"1615692688-2193","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3","Departamento amoblado en El Refugio de 3 dormitorios, 122 mts2 y seguridad!","$ 17,300","3 Recámaras","3 Baños","122 m² Construidos"
"1615692534-1815","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2","DEPARTAMENTO AMUEBLADO EN RENTA  EN MILENIO III","$ 22,000","2 Recámaras","2 Baños","null"
"1615692383-1618","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3","DEPARTAMENTO EN ENTA SIERRA AZUL QUERÉTARO","$ 16,000","1 Recámara","1 Baño","73 m² Construidos"
"1615692523-1783","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3","HERMOSO DEPARTAMENTO EN MILENIO III","$ 11,000","3 Recámaras","2 Baños","120 m² Construidos"
