web-scraper-order,web-scraper-start-url,titulo,precio,mets
1620503079-8782,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=1,Bonito Terreno para Casa en Fraccionamiento,"$1,345,000",330 m²
1620503065-8720,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=1,"VENTA DE TERRENO EN QUERÉTARO, HACIENDA JURICA, PLANO DE 600 m2 Y BARDEADO.","$3,900,000",600 m²
1620503008-8489,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=4,TERRENO EN VENTA CUMBRES DEL LAGO VISTA LAGO JURIQUILLA QUERETARO,"$7,000,000",1000 m²
1620502979-8376,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=4,FRAY JUNIPERO SERRA TERRENO DE USO MIXTO DENTRO DE CONDOMINIO 620 METROS,"$4,216,000",620 m²
1620503058-8706,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=2,Terreno plano en Jurica de 600 mts2! RAHH 20-3603,"$3,900,000",600 m²
1620502924-8144,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,"Espectacular terreno en venta. Uso de suelo mixto en Milenio, Increíble vista.","$1,700,000",200 m²
1620502986-8408,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=3,VENTA TERRENOS EN LA ESPIGA QUERETARO,"$2,393,715",337 m²
1620502963-8300,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=1,Venta de Terreno en Punta Esmeralda,"$1,220,000",316 m²
1620503008-8499,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=4,"Terreno habitacional en Venta, en Juriquilla, Querétaro","$5,900,000",884 m²
1620502885-7992,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=4,"Terreno en El Campanario, zona completamente construida! RCS 19-2433","$6,900,000",653 m²
1620502932-8194,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=1,Terreno en Venta dentro de Home Coto Club en Milenio III Querétaro,"$2,300,000",352 m²
1620503000-8469,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=1,El Refugio Terreno Venta ¡Listo para construir...!,"$1,150,000",130 m²
1620503052-8684,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=3,VENTA DE TERRENO EN LOMA BONITA,"$1,281,600",534 m²
1620502924-8164,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,Terreno en venta en milenio Querétaro,"$1,288,430",235 m²
1620503030-8576,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=1,"Terreno en venta en juriquilla, Cumbres del Lago, Queretaro","$1,490,000",301 m²
1620503030-8568,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=1,"Se Vende Terreno en Cumbres del Lago, 270 m2, Descendente, Hermosa Vista !!!","$1,250,000",270 m²
1620502986-8389,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=3,Terreno en El Refugio con amenidades y 270 mts2! RAHQRO,"$2,107,539",270 m²
1620503052-8670,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=3,VENTA DE TERRENO EN JURICA QUERETARO,"$3,700,000",400 m²
1620503052-8683,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=3,venta de terreno con 140 m2 de pequeña construcción en el fraccionamiento Jurica camp...,"$8,800,000",1733 m²
1620502916-8113,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=3,TERRENO EN VENTA EN MILENIO III DE 612.71 M2,"$3,706,895",612 m²
